order,type,name,filename,text,eng_text
0,L,CHC2023006G04876,e1ad0adb-3270-45f8-bc73-06b645a11a10,"烏克蘭頓巴斯。 
在一片寒冷的前線堡壘的核心地帶，122公釐2C1 Gvozdika榴彈炮發出震耳的咆哮，用雷鳴般的回音粉碎了冰冷的寧靜。它的爆炸回聲穿越冰凍的空氣，成為一種令人毛骨悚然的號角，呼籲著吞噬戰場的凶猛。","UKRAINE. Donbas. 
In the heart of a frigid frontline bastion, the 122mm 2C1 Gvozdika howitzer unleashes a resounding roar, shattering the icy tranquility with thunderous reverberations. Its explosive echoes cut through the frozen air, serving as a chilling clarion call to the ferocity consuming the battlefield. On this Christmas Eve, the haunting stillness of the night is forcefully punctuated along the frontline, an undeniable and relentless intensity of the conflict."
1,M,,"{
   ""desktop"": ""https://v3-statics.mirrormedia.mg/files/2024-map-all-s15-jzsR87OlgwkF0ALlZfgW.m4v"", 
""mobile"": ""https://v3-statics.mirrormedia.mg/images/7f49e1fb-6fa5-411e-bad5-3258a587bf68-w800.jpg"" 
}",,
2,P,50_CHC2023006G03711,78925100-41d7-4261-95eb-8f19ea65d655,"烏克蘭頓巴斯。
在韋謝列附近無情的前線，一大片未採收的向日葵矗立著，作為殘酷衝突現實的寒凍見證。這片廣闊的風景被白雪覆蓋，一路延伸至地平線的曲率，將自然之美與以戰爭為背景的陰鬱並置，形成一幅令人心酸的景象。","UKRAINE. Donbas.
In the unforgiving expanse of the frontline near Vesele, a vast field of unharvested sunflowers stands as a frozen testament to the harsh realities of conflict. Covered in a blanket of snow, this expansive landscape reaches the curvature of the horizon, a poignant scene that juxtaposes the beauty of nature with the somber backdrop of war."
3,P,38_CHC2023006G03601,ad2d33ad-fb14-4e39-ad75-bc4b27bc848c,"烏克蘭頓巴斯。
前線道路覆蓋原雪，見證了遭遺棄的景況。在這寒冷的場景中，自相矛盾的路標增添了一絲模糊感，呼應了衝突地區的道路上，經常受不確定性籠罩。","UKRAINE. Donbas.
Frontline roads, draped in a pristine blanket of snow, bear witness to abandonment.
Amidst this wintry scene, a conflicting road sign adds a touch of ambiguity, echoing the uncertainty that often shrouds the paths in conflict zones."
4,P,01_CHC2023006G03997,d1d27147-9b01-40a9-b344-e2305ece93a3,"烏克蘭頓巴斯。
烏克蘭武裝部隊第四坦克旅的一名炮手［代號「五角大廈」（Pentagon）］正在勘察被白雪覆蓋的前線。他目光專注，定錨在靜謐的風景上。寂寥的冬景與砲手評估地形、尋找精確部署122公厘2C1 Gvozdika榴彈炮的線索時，所呈現出來的戰略警醒模樣，形成對比。","UKRAINE. Donbas. 
An artillery gunner, code sign Pentagon of the 4th Tank Brigade of Armed Forces of Ukraine, surveys the snow-covered frontline, his focused gaze tracing the undisturbed landscape. The winter's hush hush contrasts with the strategic vigilance as the gunner assesses the terrain, seeking cues for the precise deployment of the 122mm 2C1 Gvozdika howitzer."
5,P,03_CHC2023006G02402,127e2f45-a04b-40e0-a85f-b8f4da50ba8e,"烏克蘭札波羅熱。
一支烏克蘭志願軍（Ukrainian Volunteer Army）迫擊炮部隊，在離開射擊陣地之際，熟練拆除一枚迫擊炮炸彈，以確保運輸安全。他們精準解除武裝機制，讓曾經致命的裝置失效。這個迅速且訓練有素的流程，說明了該部門對安全和操作效率的承諾。","UKRAINE. Zaporizhzhia.
In readiness to leave their firing positions, a mortar unit of the Ukrainian Volunteer Army (UDA) adeptly disarms a mortar bomb for secure transportation. The team neutralizes arming mechanisms with precision, rendering the once-lethal device inert. This swift and practiced process underscores the unit's safety and operational efficiency commitment."
6,P,04_CHC2023006G04835,16056d58-3af5-43c7-ab48-9c026a62b58a,"烏克蘭頓巴斯。
由前警察組成的狂怒旅（The Fury Brigade）駐紮在前線城鎮康士坦丁尼夫卡（Kostyantynivka）附近。在那裡，我目睹了該旅57公厘С-60高射快速部署。啟動這些武器，便會釋放出決定性的連續炮擊，有效將爆炸威力輸送到俄羅斯陣地。","UKRAINE. Donbas.
The Fury Brigade, composed of ex-policemen, is stationed near the frontline town of Kostyantynivka. While there, I witnessed the brigade rapid deployment of AZP S-60 57mm anti-aircraft guns. These weapons unleashed a decisive cannonade upon activation, effectively delivering explosive force into the Russian's positions."
7,P,05_CHC2023006G03947,335386b5-4c1e-46e4-9887-3da853fc24da,"烏克蘭頓巴斯。
烏克蘭士兵停下來抽菸。他們暫時跳脫嚴酷職責，縷縷白煙與冷冽空氣融為一體，在冬季的荒野中，營造出一幅超現實景象。","UKRAINE. Donbas.
Ukrainian soldiers pause for a cigarette break. Wisps of smoke blend with the frosty air as they momentarily escape the rigors of their duties, creating a surreal tableau amid the winter wilderness."
8,P,07_CHC2023006G03385,659c5d1c-3df9-4183-b403-54e9de05ecfc,"烏克蘭頓巴斯。
在金德拉帝夫斯卡（Kindrativska）附近的斯卡拉第425突擊營基地裡，一名烏克蘭狙擊手正在練習精準射擊。同時，一名觀察員在檢查瞄準鏡的準確度，使其在追求致命準確度的過程中，能合作無間。","UKRAINE. Donbas.
At the unit base of 425th Assault Battalion Skala near Kindrativska, a Ukrainian sniper practices precision shots. At the same time, a spotter checks the sight for accuracy, forging a coordinated effort in their pursuit of deadly accuracy."
9,P,08_CHC2023006G02322,7259a11c-f0ec-4e02-8f50-a6b13e08d399,"烏克蘭札波羅熱。
在一次秘密行動中，RPG-7的專用熱追蹤零件順利在FPV無人機上運作，使其成為威力強大的自殺式無人機。該裝置執行精準，將致命能力與無人機技術融合在一起，為目標任務創造出一種謹慎且強而有力的工具。","UKRAINE. Zaporizhzhia.
In a covert operation, a specialized heat-seeking component from an RPG-7 integrated into an FPV drone, transforming it into a formidable suicide drone. Executed with precision, the installation fuses lethal capabilities with unmanned aerial technology, creating a discreet and potent tool for targeted missions."
